Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,21,F,3,Болгария,Россия,1,1,2,4,5,4,3,1,4,1,5,4,2,3,3,1,1,1,1,2,2.45,0,0,1,1,2,2,2,1,0,1,1,1,1,0,13,3,3,4,5,5,4,5,4,3,3,4,3,3.83,3,3,3,4,3,3,4,3,3,3,3,3,3,2,2,2,2,3,52
Да,Да,Да,22,M,4,Россия,Германия,3,3,2,4,3,3,4,2,2,3,2,3,2,3,3,1,1,1,2,2,2.45,2,3,2,2,4,3,2,2,3,2,2,2,3,2,34,4,4,5,4,6,5,4,4,5,4,5,6,4.67,2,2,3,3,3,2,2,3,2,3,2,3,2,4,3,2,3,2,46
Да,Да,Да,24,F,5,Россия,Германия,3,2,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.35,4,5,4,3,4,4,3,3,4,4,4,3,3,4,52,5,5,5,6,7,6,7,5,6,6,6,6,5.83,4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,66
Да,Да,Да,21,M,2,Сальвадор,Россия,2,2,3,4,2,3,2,2,2,3,3,1,4,3,3,3,3,3,2,2,2.6,3,2,3,1,1,2,4,3,1,1,0,1,1,0,23,3,3,2,4,2,3,3,4,3,4,2,4,3.08,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3,3,48
Да,Да,Да,28,F,3,Беларусь,Россия,4,4,4,4,4,2,3,2,4,1,2,3,2,1,2,2,3,2,3,3,2.75,3,3,2,1,2,1,2,1,3,1,1,0,3,1,24,2,2,3,3,4,4,3,2,3,3,4,4,3.08,2,3,1,3,3,2,3,2,2,3,3,2,2,2,3,3,2,3,44
Да,Да,Да,23,F,2,Беларусь,Австрия,1,1,1,1,2,1,5,4,3,3,5,1,1,2,2,2,5,4,4,5,2.65,3,1,3,2,4,4,1,1,1,3,3,3,0,3,32,3,4,3,2,2,3,3,2,3,4,3,3,2.92,3,3,2,2,2,2,3,3,3,2,2,2,2,2,3,3,4,3,46
Да,Да,Да,21,F,4,Беларусь,Россия,1,2,2,3,1,1,1,1,2,1,3,3,1,2,1,1,3,3,1,1,1.7,4,3,4,5,4,3,4,3,4,5,4,3,4,5,55,5,5,6,7,7,6,6,5,5,6,5,5,5.67,1,2,2,2,2,2,2,2,1,2,3,1,2,2,1,2,1,1,31
Да,Да,Да,29,F,9,Беларусь,Россия,3,3,3,3,3,3,1,1,4,2,3,3,4,4,4,1,1,2,2,1,2.55,3,1,4,3,1,4,4,1,3,1,4,1,3,0,33,3,3,3,3,2,2,3,3,4,4,3,4,3.08,2,2,3,2,2,3,2,3,2,3,2,3,3,2,3,3,2,3,45
Да,Да,Да,24,M,2,Беларусь,Россия,2,2,5,3,2,2,2,5,5,1,3,5,2,3,3,4,3,3,5,4,3.2,1,3,1,3,3,0,1,1,1,3,0,3,1,1,22,4,5,5,5,4,6,5,6,5,6,5,5,5.08,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,35
Да,Да,Да,22,M,6,Беларусь,Россия,3,3,3,3,1,3,3,1,3,4,5,4,2,4,2,3,3,2,3,2,2.85,1,1,3,1,1,3,1,1,1,3,3,3,3,1,26,4,4,4,4,4,4,5,4,4,4,5,4,4.17,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,4,47
